run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
PureAlohaExperiment-1-20170627-20:42:17-22739,runattr,,,measurement,"numHosts=10, iaMean=1",,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,runattr,,,network,Aloha,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,runattr,,,processid,22739,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,runattr,,,repetition,1,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,runattr,,,replication,#1,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,runattr,,,resultdir,results,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,runattr,,,runnumber,1,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,runattr,,,seedset,1,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,itervar,,,iaMean,1,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,itervar,,,numHosts,10,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,param,,,Aloha.numHosts,10,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,param,,,Aloha.host[*].iaTime,exponential(1s),,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,param,,,Aloha.numHosts,20,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,param,,,Aloha.slotTime,0,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,param,,,Aloha.txRate,9.6kbps,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,param,,,Aloha.host[*].pkLenBits,952b,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,param,,,**.x,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,param,,,**.y,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,param,,,**.animationHoldTimeOnCollision,0s,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,param,,,**.idleAnimationSpeed,1,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,param,,,**.transmissionEdgeAnimationSpeed,1e-6,,,,,,,,,
PureAlohaExperiment-1-20170627-20:42:17-22739,param,,,**.midTransmissionAnimationSpeed,1e-1,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,configname,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,datetime,20170627-20:42:20,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,experiment,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,inifile,omnetpp.ini,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,iterationvars,"numHosts=10, iaMean=3",,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,iterationvarsf,"numHosts=10,iaMean=3-",,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,measurement,"numHosts=10, iaMean=3",,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,network,Aloha,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,processid,22739,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,repetition,0,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,replication,#0,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,resultdir,results,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,runnumber,4,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,runattr,,,seedset,4,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,itervar,,,iaMean,3,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,itervar,,,numHosts,10,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,param,,,Aloha.numHosts,10,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,param,,,Aloha.host[*].iaTime,exponential(3s),,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,param,,,Aloha.numHosts,20,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,param,,,Aloha.slotTime,0,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,param,,,Aloha.txRate,9.6kbps,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,param,,,Aloha.host[*].pkLenBits,952b,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,param,,,**.x,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,param,,,**.y,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,param,,,**.animationHoldTimeOnCollision,0s,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,param,,,**.idleAnimationSpeed,1,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,param,,,**.transmissionEdgeAnimationSpeed,1e-6,,,,,,,,,
PureAlohaExperiment-4-20170627-20:42:20-22739,param,,,**.midTransmissionAnimationSpeed,1e-1,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,configname,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,datetime,20170627-20:42:19,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,experiment,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,inifile,omnetpp.ini,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,iterationvars,"numHosts=10, iaMean=2",,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,iterationvarsf,"numHosts=10,iaMean=2-",,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,measurement,"numHosts=10, iaMean=2",,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,network,Aloha,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,processid,22739,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,repetition,0,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,replication,#0,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,resultdir,results,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,runnumber,2,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,seedset,2,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,itervar,,,iaMean,2,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,itervar,,,numHosts,10,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,Aloha.numHosts,10,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,Aloha.host[*].iaTime,exponential(2s),,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,Aloha.numHosts,20,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,Aloha.slotTime,0,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,Aloha.txRate,9.6kbps,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,Aloha.host[*].pkLenBits,952b,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,**.x,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,**.y,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,**.animationHoldTimeOnCollision,0s,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,**.idleAnimationSpeed,1,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,**.transmissionEdgeAnimationSpeed,1e-6,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,**.midTransmissionAnimationSpeed,1e-1,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,configname,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,datetime,20170627-20:42:16,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,experiment,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,inifile,omnetpp.ini,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,iterationvars,"numHosts=10, iaMean=3",,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,iterationvarsf,"numHosts=10,iaMean=3-",,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,measurement,"numHosts=10, iaMean=3",,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,network,Aloha,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,processid,22740,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,repetition,1,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,replication,#1,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,resultdir,results,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,runnumber,5,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,seedset,5,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,itervar,,,iaMean,3,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,itervar,,,numHosts,10,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,param,,,Aloha.numHosts,10,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,param,,,Aloha.host[*].iaTime,exponential(3s),,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,param,,,Aloha.numHosts,20,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,param,,,Aloha.slotTime,0,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,param,,,Aloha.txRate,9.6kbps,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,param,,,Aloha.host[*].pkLenBits,952b,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,param,,,**.x,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,param,,,**.y,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,param,,,**.animationHoldTimeOnCollision,0s,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,param,,,**.idleAnimationSpeed,1,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,param,,,**.transmissionEdgeAnimationSpeed,1e-6,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,param,,,**.midTransmissionAnimationSpeed,1e-1,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,configname,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,datetime,20170627-20:42:16,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,experiment,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,inifile,omnetpp.ini,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,iterationvars,"numHosts=10, iaMean=4",,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,iterationvarsf,"numHosts=10,iaMean=4-",,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,measurement,"numHosts=10, iaMean=4",,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,network,Aloha,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,processid,22740,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,repetition,0,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,replication,#0,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,resultdir,results,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,runnumber,6,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,runattr,,,seedset,6,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,itervar,,,iaMean,4,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,itervar,,,numHosts,10,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,param,,,Aloha.numHosts,10,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,param,,,Aloha.host[*].iaTime,exponential(4s),,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,param,,,Aloha.numHosts,20,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,param,,,Aloha.slotTime,0,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,param,,,Aloha.txRate,9.6kbps,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,param,,,Aloha.host[*].pkLenBits,952b,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,param,,,**.x,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,param,,,**.y,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,param,,,**.animationHoldTimeOnCollision,0s,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,param,,,**.idleAnimationSpeed,1,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,param,,,**.transmissionEdgeAnimationSpeed,1e-6,,,,,,,,,
PureAlohaExperiment-6-20170627-20:42:16-22740,param,,,**.midTransmissionAnimationSpeed,1e-1,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,configname,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,datetime,20170627-20:42:17,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,experiment,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,inifile,omnetpp.ini,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,iterationvars,"numHosts=10, iaMean=4",,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,iterationvarsf,"numHosts=10,iaMean=4-",,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,measurement,"numHosts=10, iaMean=4",,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,network,Aloha,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,processid,22740,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,repetition,1,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,replication,#1,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,resultdir,results,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,runnumber,7,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,runattr,,,seedset,7,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,itervar,,,iaMean,4,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,itervar,,,numHosts,10,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,param,,,Aloha.numHosts,10,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,param,,,Aloha.host[*].iaTime,exponential(4s),,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,param,,,Aloha.numHosts,20,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,param,,,Aloha.slotTime,0,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,param,,,Aloha.txRate,9.6kbps,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,param,,,Aloha.host[*].pkLenBits,952b,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,param,,,**.x,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,param,,,**.y,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,param,,,**.animationHoldTimeOnCollision,0s,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,param,,,**.idleAnimationSpeed,1,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,param,,,**.transmissionEdgeAnimationSpeed,1e-6,,,,,,,,,
PureAlohaExperiment-7-20170627-20:42:17-22740,param,,,**.midTransmissionAnimationSpeed,1e-1,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,configname,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,datetime,20170627-20:42:17,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,experiment,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,inifile,omnetpp.ini,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,iterationvars,"numHosts=10, iaMean=5",,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,iterationvarsf,"numHosts=10,iaMean=5-",,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,measurement,"numHosts=10, iaMean=5",,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,network,Aloha,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,processid,22740,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,repetition,0,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,replication,#0,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,resultdir,results,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,runnumber,8,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,seedset,8,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,itervar,,,iaMean,5,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,itervar,,,numHosts,10,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,Aloha.numHosts,10,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,Aloha.host[*].iaTime,exponential(5s),,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,Aloha.numHosts,20,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,Aloha.slotTime,0,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,Aloha.txRate,9.6kbps,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,Aloha.host[*].pkLenBits,952b,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,**.x,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,**.y,"uniform(0m, 1000m)",,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,**.animationHoldTimeOnCollision,0s,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,**.idleAnimationSpeed,1,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,**.transmissionEdgeAnimationSpeed,1e-6,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,**.midTransmissionAnimationSpeed,1e-1,,,,,,,,,
PureAlohaExperiment-9-20170627-20:42:18-22740,runattr,,,configname,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-9-20170627-20:42:18-22740,runattr,,,datetime,20170627-20:42:18,,,,,,,,,
PureAlohaExperiment-9-20170627-20:42:18-22740,runattr,,,experiment,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-9-20170627-20:42:18-22740,runattr,,,inifile,omnetpp.ini,,,,,,,,,
PureAlohaExperiment-9-20170627-20:42:18-22740,runattr,,,iterationvars,"numHosts=10, iaMean=5",,,,,,,,,
